movie_code,title,audience,recorded_at
20184105,말모이,1185368,201902
20176251,내안의 그놈,765383,201902
20189463,주먹왕 랄프 2: 인터넷 속으로,1342315,201902
20180290,아쿠아맨,4920735,201902
20183915,극장판 공룡메카드: 타이니소어의 섬,289873,201902
20185485,보헤미안 랩소디,9785643,201902
20184574,그린 북,99569,201902
20186281,범블비,1553491,201902
20170658,PMC: 더 벙커,1665204,201902
20175547,스윙키즈,1462874,201902
20183785,점박이 한반도의 공룡2 : 새로운 낙원,521053,201901
20184187,언니,172340,201901
20182421,그린치,543815,201901
20168773,마약왕,1787838,201852
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,259753,201852
20183238,스파이더맨: 뉴 유니버스,628327,201852
20177552,국가부도의 날,3723915,201851
20179230,도어락,1546002,201851
20183375,극장판 포켓몬스터 모두의 이야기,86997,201851
20189843,호두까기 인형과 4개의 왕국,408425,201850
20182082,부탁 하나만 들어줘,87501,201850
20178825,모털 엔진,262070,201850
20183745,런닝맨 : 풀룰루의 역습,180709,201850
20177538,완벽한 타인,5270621,201850
20184481,성난황소,1567264,201849
20181905,후드,276658,201849
20176814,신비한 동물들과 그린델왈드의 범죄,2403686,201849
20183073,베일리 어게인,78439,201848
20181171,바울,229837,201848
20183007,거미줄에 걸린 소녀,25172,201848
20182966,투 프렌즈,20419,201848
20183050,번 더 스테이지: 더 무비,298402,201847
20182935,출국,71407,201847
20182669,툴리,24325,201847
20186822,너의 췌장을 먹고 싶어,48910,201847
20170513,동네사람들,445625,201846
20189869,해피 투게더,15745,201846
20174981,창궐,1588443,201845
20010291,해리포터와 마법사의 돌,259733,201845
20179006,여곡성,55997,201845
20181404,벽 속에 숨은 마법시계,211233,201845
20180523,스타 이즈 본,458917,201845
20182693,구스범스: 몬스터의 역습,21400,201845
